zmin zmax nz
0.05 0.1 0.0729
0.1 0.15 0.069
0.15 0.2 0.0807
0.2 0.25 0.1105
0.25 0.3 0.1395
0.3 0.35 0.243
0.35 0.4 0.3975
0.4 0.45 0.5017
0.45 0.5 0.6907
0.5 0.55 0.9431
0.55 0.6 1.1383
0.6 0.65 1.5083
0.65 0.7 1.8956
0.7 0.75 2.2366
0.75 0.8 2.5753
0.8 0.85 3.0723
0.85 0.9 3.3459
0.9 0.95 3.6477
0.95 1.0 3.7449
1.0 1.05 4.0836
1.05 1.1 4.289
1.1 1.15 4.4426
1.15 1.2 5.0533
1.2 1.25 5.0439
1.25 1.3 5.4837
1.3 1.35 5.5551
1.35 1.4 5.7032
1.4 1.45 5.8953
1.45 1.5 5.8436
1.5 1.55 6.0991
1.55 1.6 6.1822
1.6 1.65 6.1775
1.65 1.7 6.1156
1.7 1.75 5.8655
1.75 1.8 6.0521
1.8 1.85 5.7902
1.85 1.9 5.4735
1.9 1.95 5.5276
1.95 2.0 5.2634
2.0 2.05 4.9608
2.05 2.1 4.757
2.1 2.15 4.5837
2.15 2.2 4.307
2.2 2.25 4.1338
2.25 2.3 3.9284
2.3 2.35 3.77
2.35 2.4 3.5168
2.4 2.45 3.2793
2.45 2.5 3.0159
2.5 2.55 2.7681
2.55 2.6 2.6686
2.6 2.65 2.4255
2.65 2.7 2.1715
2.7 2.75 1.8838
2.75 2.8 1.7882
2.8 2.85 1.7694
2.85 2.9 1.5648
2.9 2.95 1.4197
2.95 3.0 1.2441
3.0 3.05 1.1218
3.05 3.1 1.0818
3.1 3.15 0.9015
3.15 3.2 0.8326
3.2 3.25 0.7306
3.25 3.3 0.6852
3.3 3.35 0.5942
3.35 3.4 0.5127
3.4 3.45 0.3967
3.45 3.5 0.341
3.5 3.55 0.2783
3.55 3.6 0.2493
3.6 3.65 0.2258
3.65 3.7 0.1905
3.7 3.75 0.1811
3.75 3.8 0.1858
3.8 3.85 0.1458
3.85 3.9 0.145
3.9 3.95 0.109
3.95 4.0 0.1129
4.0 4.05 0.1027
4.05 4.1 0.0463
4.1 4.15 0.0447
4.15 4.2 0.0368
4.2 4.25 0.0486
4.25 4.3 0.0361
4.3 4.35 0.022
4.35 4.4 0.0172
4.4 4.45 0.0133
4.45 4.5 0.0078
